clinic_id;code;name;price
27465;B01.025.001;Прием нефролога первичный;0
25022;164;D-димер (D-Dimer);0
19083;A12.25.007;Тимпанометрия;0
20081;B01.050.001;Прием травматолога-ортопеда первичный;0
20082;B01.050.002;Прием травматолога-ортопеда повторный;0
24530;3150УРО;Андрофлор, исследование микрофлоры урогенитального тракта мужчин в соскобе эпителиальных клеток урогенитального тракта (Androflor®REAL-TIME PCR Detection Kit, the study of men’s urogenital tract microbiocenosis in the epithelial scrapes from the balanus, urethra);0
255;A.06.3.24;СКТ голеностопного сустава;0
55764;A11.12.003.001.002;"Непрерывное внутривенное введение лекарственных препаратов - капельница ""Золушка"" (аскорбиновая кислота 50мг/мл - 2,0 мл + глатион 0,6г + тиоктовая кислота 30 мг - 10 мл)";0
19070;A22.30.015;Ударно-волновая терапия мелких суставов (фокусная/радиальная);0
298;A.06.11.78;Отправка исследования на электронную почту;0
25537;66;Хорионический гонадотропин человека (ХГЧ, бета-ХГЧ, ?-ХГЧ) (Human Chorionic Gonadotropin, HCG);0
27335;A11.04.004.01;Блокада сустава / на уровне сустава;0
55779;A11.02.002.005;Внутримышечное введение лекарственных препаратов (Ботулинотерапия препаратом Миотокс ,коррекция морщин) 1 единица;0
15305;A16.25.007;Удаление серных пробок;0
25154;18;Гликированный гемоглобин HbA1С (HbA1С, Glycated Hemoglobin, GHB);0
25580;11HOMA;Оценка инсулинорезистентности: глюкоза (натощак), инсулин (натощак), расчет индекса HOMA-IR (Insulin Resistance: Fasting Glucose/Insulin, Homeostasis Model Assessment of Insulin Resistance, HOMA-IR);0
342833;B03.052.001;Комплексное исследование лимфатических узлов (шейные, над- и подключичные, подмышечные, паховые, забрюшинные);0
536;A21.03.002.009;Массаж всех отделов позвоночника (шейный, грудной, крестцово-копчиковый);0
410;B01.053.002;Прием уролога (андролога) повторный;0
25052;ОБС74;Биохимия крови: минимальный профиль (Serum Biochemistry: Minimum);0
24589;ОБС109;Гемостазиограмма (коагулограмма) расширенная (Hemostasiogram (coagulogram), extended;0
24293;ГТБ-С;Глюкозотолерантный тест при беременности (пероральный глюкозотолерантный тест, ГТТ, ОГТТ) Oral Glucose Tolerance Test, Plasma, OGTT, Pregnancy;0
23999;95110;Альбумин, разовая порция  мочи (с креатинином и расчетом альбумин/креатинин отношения) (Albumin, random urine, with creatinine and albumin/creatinine ratio calculation, UACR);0
